Agency,Population,Murder,Manslaughter,Rape,Fondling,Aggravated Assault,Aggravated Stalking,Simple Assault,"Threat/
Intimidation",Stalking,Total,,,

Alachua County,"254,893",1,0,39,10,354,4,"1,079",17,7,"1,511",,,

Alachua County Sheriffs Office,"111,408",1,0,19,8,138,0,456,14,1,637,,,
Gainesville Police Department,"127,955",0,0,19,0,196,4,526,3,6,754,,,
High Springs Police Department,"5,742",0,0,0,0,9,0,29,0,0,38,,,
University of Florida PD,0,0,0,0,0,0,0,15,0,0,15,,,
Alachua Police Department,"9,788",0,0,1,2,11,0,51,0,0,65,,,
Santa Fe College PD,0,0,0,0,0,0,0,0,0,0,0,,,
Alachua DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Alachua,0,0,0,0,0,0,0,0,0,0,0,,,
Alachua-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Gainesville,0,0,0,0,0,0,0,2,0,0,2,,,

Baker County,"27,017",0,0,0,0,21,0,74,2,0,97,,,

Baker County Sheriffs Office,"27,017",0,0,0,0,21,0,74,2,0,97,,,
Baker DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
ABT Baker County,0,0,0,0,0,0,0,0,0,0,0,,,
Baker-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Baker Co,0,0,0,0,0,0,0,0,0,0,0,,,

Bay County,"173,310",6,1,10,4,221,3,"1,206",19,2,"1,472",,,

Bay County Sheriffs Office,"91,079",4,0,9,0,93,2,338,11,1,458,,,
Panama City Police Department,"35,835",2,0,0,2,86,0,527,5,1,623,,,
Mexico Beach Police Department,"1,136",0,0,0,0,2,0,2,0,0,4,,,
Springfield Police Department,"9,097",0,0,0,2,13,0,97,2,0,114,,,
Panama City Beach Police Department,"12,467",0,0,1,0,9,0,135,1,0,146,,,
Lynn Haven Police Department,"19,287",0,0,0,0,11,0,54,0,0,65,,,
FSU Panama City,0,0,0,0,0,0,0,1,0,0,1,,,
NW FL. Beaches Inter. Airport PD,0,0,0,0,0,0,0,0,0,0,0,,,
Bay DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
